name,city,country_code,size
Pensiunea Sovirag,Sic,ro,16
Bio-Vitalhotel Falkenhof,Bad FĂĽssing,de,42
Duvan Hotell,Uppsala,se,32
Wessex Hotel,Street Nr Glastonbury,gb,50
Alexandria Hotel,Thessaloniki,gr,28
HotelovĂ˝ resort Ĺ ikland,Zvole ,cz,61
Markets Hotel,Sydney,au,16
Residence Inn Houston Medical Center / NRG Park,Houston (Texas),us,199
Sea View Heights Villa Montego Bay,Rose Hall,jm,17
YangShuo Eden YHA,Yangshuo,cn,33
Hotel Casablanca Palace,PetrĂłpolis,br,18
Hotel Sagar,Meerut,in,16
Le PrĂ© du Lac,St Jorioz,fr,60
Dionyssos,Limenas,gr,13
Rantun's Place,Nusa Dua,id,18
The Gateway Hotel M G Road,Vijayawada,in,120
NH Collection Victoria,Granada,es,69
Raoum Inn,Kuwait,kw,73
"Innkeeper's Lodge Doncaster, Bessacarr","Bessacarr, Doncaster",gb,25
Pivnice ve Dvorci - JĂ­trava,Rynoltice,cz,12
Jiayou travel leisure hostel,Quanzhou,cn,12
Grafs Adler,Offenburg-Griesheim,de,15
Hotel Don Rodrigo,Palencia,es,24
Pearl on the Concho at Jameson Inn,San Angelo (Texas),us,150
La Maison d'Hoursentut,Sainte Marie de Campan,fr,13
Shanhai-Blues,Odessa,ua,11
Pension Tip-Top,Targu Mures,ro,13
Zhangzhou Huayuan Hotel,Zhangzhou,cn,99
Embassy Suites Colorado Springs,Colorado Springs (Colorado),us,206
Louis' Tavern Transit Hotel Dayrooms Suvarnabhumi Airport,Lat Krabang,th,100
A Beach Retreat on Casey Key,Nokomis (Florida),us,26
La Rossola Resort,Bonassola,it,16
Morada da Praia do Rosa Pousada,Praia do Rosa (Santa Catarina),br,21
Oblu by Atmosphere at Helengeli,North Male Atoll,mv,116
Victoria Hotel,Minden,de,32
Lia Studios,Loutra Edipsou,gr,20
Elan Chengdu Shijicheng,Chengdu,cn,57
Treasure Cove Resort,Diamond Point (New York),us,50
Villa Cilnia Relais & Spa,Arezzo,it,13
Quality Inn Manchester Airport,Manchester (New Hampshire),us,120
La Casa Roja Hostel,Santiago,cl,20
Seeds Hotel Setia Wangsa,Kuala Lumpur,my,32
Baymont Inn & Suites Mobile,Mobile  (Alabama),us,111
Hotel Dal Ponte,Bassano Del Grappa,it,24
Axis Vermar Conference & Beach Hotel,PĂłvoa De Varzim (Povoa De Varzim),pt,208
Orion HotĂ©is,Aracaju (Sergipe),br,150
HĂ´tel-Restaurant de La Paix,Saint-Palais,fr,27
BelAire Bangkok,Bangkok ,th,160
Royalton Hotels Limited,Abuja,ng,80
Damnak Suon Angkor Resort & Spa,Siem Reap,kh,14
Poplar Sanctuary Apartments,Box Hill,au,16
The Dawson Hotel and Spa,Dublin,ie,36
Reindl's Partenkirchener Hof,Garmisch-Partenkirchen,de,62
Hazyview Adventure Backpackers,Hazyview,za,11
Hotel Ivan,Ĺ ibenik,hr,372
Hotel Om Executive,SÄtÄra,in,20
La Ferma Veche Bogdana,Onesti,ro,15
Premiere Classe Les Ulis,Les Ulis,fr,64
Marriottâ€™s Waikoloa Ocean Club,Waikoloa Beach,us,112
Apartahotel Aguadulce,Aguadulce,es,37
Pensjonat DwĂłr Szlachecki BiedaczĂłw,Brzoza Stadnicka,pl,16
La Orein Residence,Nusa Dua,id,32
Home Inn & Suites Yorkton,Yorkton (Saskatchewan),ca,80
Vogel Hotel Appartement & Spa,WarnemĂĽnde,de,19
Tuna Pension & Hotel,Bodrum,tr,14
Hilton Concord,Concord (California),us,331
GreenTree Inn Jiangsu Wuxi Taihu Lake Business Hotel,Wuxi,cn,108
Biryuza-Yug Baza Otdykha,Betta,ru,25
